id,question,answer
741,How  Much  Is  Health  Insurance  For  A  60  Year  Old?,"Unfortunately, term life insurance has no cash value to build up. Therefore there is no money to cash out. Think of term life insurance as renting your life insurance and permanent life insurance as buying life insurance. Cash value plans are policies such as whole life and universal life insurance. These are more expensive premiums but do build cash value for times when you need money."
742,How  Much  Of  Your  Portfolio  Should  Be  In  Annuities?,"You can find stripped down Renters Insurance policies for as little as $50.00 per year from any local agent if you have good credit. Most people spend about $150.00 per year on Renters Insurance as they find value in some of the optional endorsements, such as personal property replacement cost (which allows you to buy new items without a deduction for depreciation if you have a claim). Most of my customers add identity theft insurance to their policies so they can file a claim if they are the victim of identity theft. It will help restore incorrect info and pay attorney fees and some time off of work. In short, a basic policy won't cost much, but for a few extra dollars per month you can get much better coverage. What state are you in? I may be able to help you. Send me an email!"
743,Where  Can  I  Get  Insurance  Without  A  Car?,"The average cost in the country for a health insurance plan (overall) is estimated to be about $328 per month - however, this is only reflective upon a silver level plan (not all 2014 state figure averages are available yet).While you can try to come up with an ""average"" cost, there's too many factors that go into premium pricing to say how in relation that compares to an individual as compared to the overall group. In short, an ""average"" premium is a rather useless figure to the individual. It's only representative to a large group - you could have people paying a small nominal amount (after factoring in subsidies) per month to several thousand dollars per month. Even for that there's a ton of information to sift through to get an accurate representation. Under the Affordable Care Act, you have the options for bronze, silver, gold, and platinum level plans (as you go up in metal, the price goes up, but provides better benefits) - some areas also have a catastrophic plan available. In addition, your age and zip codes are big factors as well. The younger you are, the cheaper your premium - the older you are, the higher your premium. Also, if you use tobacco products, your premium can be increased up to 50% as well. I always recommend consulting with an experienced broker regarding your personal health coverage. We can work with you to look at a wide range of options from many of the top carriers in the industry and find the plan that's going to be best suitable for your needs. Please let me know if I can be of further assistance. Thanks very much."
744,Should  Renters  Insurance  Be  Required?,"Tax deferred annuities are ultimately purchased for retirement income, whether in qualified plans or not. A new trend among advisers is to have a foundational income stream that can generate cash flow for the life of the annuitant no matter how long they live. Portfolio percentages differ, but a rule of thumb is 25 to 33%."
745,How  Can  I  Save  Money  On  Homeowners  Insurance?,"There are many folks out there that have a company vehicle or other transportation provided to them. While the exposure is different it is still you driving a car or truck. so, you need coverage too. Don't be confused by the fact the company that owns the vehicle ( typically your employer has liability insurance) . Liability will generally be something you might have in Excess of their coverage. However it is not unusual for you to need coverages such as Medical Payments and Uninsured Motorist. Especially with large employers you might think the employer has a heavy protection for their employees, that may be true for liability but ask your employer about Uninsured or Under insured Motorist Coverage The way to approach securing non owned coverage is the same way we would recommend you obtain any insurance need. Call or visit an agent on line and ask for a quote. If you live in AZ,CA,GA, MO or TX we would be glad to assist you further."
746,What  Is  Life  And  TPD  Insurance?,As and Insurance agent I would have to say yes it should be required. As a consumers pint of view I can see why you would not want the extra expense. But The policies on average are 10 to 15 a month and it lowers your car insurance that much a month with many carriers if you bundle it. What little you are paying for in the event of a loss you would be glad you had the coverage. What a renters policy is paying for is many things from Liability if someone get hurt at your apartment to if you had a fire and had to stay in another place till you could move back in it would cover your living expense. It also covers to replace your thing like clothes and furniture and much more. Many home owners that are renting out the home with some carriers they require that if you are renting the home that they have to have the renters get renters insurance. There are more benefits to having it then not.
747,Can  You  Buy  Life  Insurance  On  Other  People?,"The most expensive mistake a homeowner can make is to be underinsured. Regardless of what the premiums were, a single high value loss that exceeds the limits of the policy can make those saving immaterial. Setting adequate limits is absolutely crucial. The person that can help set appropriate limits is a reliable insurance agent. This is a far greater problem than many think. The primary place where this shows up is having inadequate liability limits. Your homeowners policy provides liability coverage for personal injury and property damage law suits. The company pays all costs for a lawsuit up to the limits of the policy. After that the homeowner is facing the lawsuit alone. Most companies do not offer adequate liability limits and most policyholders select limits that are lower than the maximum offered by the company. An umbrella policy is necessary for most homeowners. The second area that is often underinsured is valuable collections. The homeowners policy has internal limits for recovery on certain items. Most homeowner dont know that their inherited sterling silver is woefully underinsured. They dont understand that those guns in the cabinet could be destroyed and they would only get a fraction of their value. The same is true of jewelry, a coin collection, and many other items. This is all detailed inside the policy, but few homeowners ever read their policy. Some people continue to underinsure their structure. While not as common it is an increasing phenomenon. A homeowner will improve the home and never inform the company or agent. In the event of a loss the amount of coverage might not return the home to its updated glory. This coverage is really inexpensive, however a loss can be paralyzing. Some homeowners have multiple homes. The second homes are often in hazardous areas, such as lakefront, beach front and mountain property. The cost of replacing one of these homes can exceed the insured value because of inflated reconstruction costs. If a forest fire sweeps through some summer cottages, there will be a great demand for contractors to do the work and there will also be bidding for materials. It can get ugly. So adequate insurance is the first step, the second step is to focus on the policy itself. Homeowners can often save significant money by increasing the deductibles on their policies. The deductible should be set at the amount of loss that could be absorbed without serious disruption to the family finances. That is often more than the deductible in the policy. Companies traditionally offer discounts if coverages are packaged. Some companies cover a wide range of policies and by bringing those to a single carrier premium savings can often be realized. This is particularly true if you own another residence that you lease to someone else. Often extending liability coverage from you homeowners policy will save you money. Companies often give discounts for loss prevention. The most common is the central station monitored alarm systems. While companies are rarely as generous as the alarm sales people indicate, there are savings to be had by simply providing a certificate of installation. Sometimes the homeowners policy will be modified if substantial rehabilitation is done to the home. You would need to talk to your agent about this. You could also discuss the jewelry insurance if the jewelry is most often located in a safe deposit at the bank."
748,What  Is  The  College  Major  To  Study  In  Order  To  Be  An  Insurance  Agent?,"Life and TPD Insurance stands for Life and Total and Permanent Disability Insurance. It is a Life insurance policy that has an add on that would pay a lump sum if the insured person were to become totally and permanently disabled. If this was paid out, the death benefit is usually reduced by the TPD amount paid out."
749,Does  Medicare  Cover  DME  Supplies?,"You can buy life insurance on other people if there is an insurable interest and the other person is willing to sign the application as the insured. An insurable interest means that the policy owner or beneficiary must stand to suffer a direct financial loss if the insured passes. Examples of this are spouses, business partners and children/parents."
750,Can  You  Borrow  Against  Your  Retirement  Plan  In  Pennsylvania?,"There are only a handful of universities that offer degrees in Insurance. If you are looking for professional training law would probably be the most helpful, particularly if you want to be involved in estate planning or commercial insurance. A degree in marketing would prepare you for that aspect of the insurance business. Actually, insurance agents come from a wide variety of educational backgrounds."
751,What  The  Cost  Of  Long  Term  Care  Insurance?,"Yes, Medicare covers DME supplies if they are prescribed by your doctor and are for use in your home rather than in a health care facility, long term rehab center, etc. In addition, Durable Medicare Equipment must be long lasting, used for a medical reason, and not useful to someone who is not sick or injured."
752,How  Much  Homeowners  Insurance  Do  I  Need  In  Connecticut?,"This is a pretty difficult question to answer in a forum like this. I highly recommend that you speak to a professionalone-on-one to completely evaluate your needs and to see if you can borrow - and if so, if it would be financially smart to borrow from a retirement fund. Feel free to contact me if you have no one else. To give you a little idea if you could however, here are some guidelines: Most retirement funds are NOT AVAILABLE to borrow from. If you have a Defined Benefit or a Cash Balance Benefit, you can not borrow from it. You can move your funds to a different account, with professional guidance to avoid penalties. But with these types of accounts, you usually can not touch until you retire. If you have a Profit Sharing account or a 401K - you MAY be able to borrow depending upon the rules of the company that it is through and/or the rules of the company you work for. Again, however, most will not allow you to borrow. If they do, typically you can only borrow 50% of YOUR contributions (not what your company contributes) or $10k, whichever is less. Again, this is a very difficult and technical topic to get a solid answer here. Look me up if I can be of any further help."
753,Does  Medicare  Have  Estate  Recovery?,"The cost of long-term care insurance is based on many factors including your age,health conditions, average cost of facilities in your area and the type of coverage you want. An experienced broker is ideal to review the best plans with you at the best prices. But don't work with anyone unlicensed or a part-time worker. Any person that spends any significant amount of time in the media side of the business will not be your best resource. Once again, a full-time broker is going to provide the best information."
754,What  Company  Has  The  Cheapest  Renters  Insurance  In  Pennsylvania?,"Talk to your insurance professional and ask about insuring to value. This means insuring to the calculated cost to reconstruct your home in the event of a loss. Your agent will be able to offer a comprehensive reconstruction analysis and based upon that, make a proper recomendation for the amount of coverage. Once that is established be sure that a reconstruction cost guarantee is included in your policy."
755,Why  Would  Someone  Be  Denied  Life  Insurance?,"No, the Estate Recovery Act pertains only to Medicaid recipients who were over age 55 and received benefits for a certain period of time, or received certain services paid for by Medicaid (nursing home, prescription drugs, and others). Beginning in Jan, 2010, estate recovery is not allowed for Medicare Savings Expenses paid by the state."
756,Does  FAFSA  Count  Annuities?,Have you seen that esurance TV commercial ( WEBSITELINK ) ? Everybody wants CHEAP insurance and almost any insurance can give you CHEAP insurance .... But the reality is that you get what you pay for. Renters insurance is probably the most affordable coverage that you can find and will probably cost you $15/ month for great coverage. Make sure your policy has replacement cost on contents and includes additional living expenses. Saving $5/ month could wind up costing you thousands of dollars if you have the wrong policy. Check with an independent insurance agent who can look at multiple carriers and see what policy is right for you.
757,How  To  Buy  My  Own  Health  Insurance?,"There are numerous reasons to be declined for life insurance. Think of it in terms of gambling. You are placing a small bet, monthly premium, in order to make sure your loved ones have enough money to live at their current means, which is a large payoff at your death. Therefore an underwriter will look at all of the factors to determine your risk of dying within a specified period of time. They look at age, build, medical history, health, lifestyle, residence, occupation, etc. to determine that risk. If they feel any of these factors are too risky you will be declined for life insurance."
758,Can  I  Deduct  Auto  Insurance  Premiums?,"No the FAFSA does not generally count annuities in its calculation for Expected Family Contributions. Though the FAFSA does not include annuities, some colleges and universities use proprietary methods for calculating family contributions which may include annuities and their cash values. These methods generally involve additional forms that ask certain questions not asked by the FAFSA."
759,Who  Is  A  Key  Employee  In  401K?,It is easy to buy your own health insurance. Many top-rated insurers offer affordable plans that will provide comprehensive coverage. Finding those plans is easiest when you utilize an experienced broker and/or their website. You can quickly compare rates and benefits from the best insurers in your area and apply online. There is no cost and you'll have free unbiased advice from a seasoned veteran available at any time.
760,Can  You  Withdraw  From  A  Roth  401K  Without  Penalty?,"That is more of a question for your accountant actually. Under normal circumstances, no. However, if you own a business and use your car at least in part for that business, then your accountant may tell you that at least a portion of the premiums that you pay may be deductible as a business expense."
761,Why  Is  Import  Car  Insurance  More  Expensive?,"An employer can establish a defined contribution retirement plan in accordance with Internal Revenue Code 401(k.) The employer is responsible for the plan documents including definitions. While not required there may be some mention of key employees. If your plan has provisions like this, they would be in the plan document which is available from your employer."
762,Can  You  Get  Life  Insurance  If  You  Are  Ill?,"One of the benefits of the Roth IRA is that once you have reached retirement age, the withdrawals are not taxed. The entire purpose of the Roth IRA is to use after tax dollars to fund it. This means the income was already taxed when you earned it and you put after-tax dollars into the account. That being said, if you are not at retirement age, there are some potential concerns. If you are under 59 1/2 years of age there is an early withdrawal penalty of 10% on a federal level. Beyond that your withdrawal may be taxed as regular income. You would be best served by speaking with your accountant to see how a withdrawal may impact your unique financial situation."
763,Will  Life  Insurance  Know  If  I  Smoke?,"That is a great question! The answer is simple, the cost of your auto insurance for your imported car is higher because the cost to repair it, should you damage it, is more expensive than a domestically made car would cost. The expense for parts and the specialized mechanics would cost the insurance company more, so they pass that expense on to you. Thanks for asking!"
764,Who  Is  Uninsurable  For  Life  Insurance?,"Can you get life insurance if you are ill? That is a very good question. We tend to think of those who have serious diseases as most unlikely to get life insurance. But in reality, those who are undergoing testing for an (as yet) undiagnosed illness, those who are in the beginning stages of treatment for a newly diagnosed illness, or those who are awaiting surgery or treatment, are likely to be postponed until their illness is diagnosed or showing stable control. Once the health condition has been under control for a while, they will have a much easier time finding a life insurance policy that will cover them. The length of time that stability must be shown depends on the illness. For blood pressure or diabetes, 3 to 6 months of control is sufficient with some companies. For MS, most companies like to see at least a year of stability, although coverage can be obtained shortly after diagnosis. Cancer is usually postponed until a year of remission or more. Many people first consider applying for life insurance when they become ill. Contact a good impaired risk agency with lots of choices to find something you can get now and/or for the future."
765,Is  Now  A  Good  Time  To  Buy  Annuities?,"Will life insurance know if I smoke? Well, depending on how much coverage you purchase, if anyone else knows you smoke chances are they will too. First off, most insurance companies ask for an attending physicians statement and chart notes. So if you've told your doctor, you smoke. Second, many plans require labs so if you smoke it will show up in your labs. And finally, some states have enacted laws that skip the two year contestability clause on life insurance when the applicant lies about smoking. These states view this as no contract was formed and won't let the carrier pay a reduced benefit. Just a return of premium."
766,What  Is  The  Dwelling  Amount  On  Home  Insurance?,There are plans available for anyone. Usually if a person is in very bad health there will be a graded death benefit for the first two or three years. The healthier you are the better your rates. If a person is very healthy that person can get preferred rating. If a person has Aids or some other serious disease they would have to go guaranteed issue and pay higher rates.
767,What  Renters  Insurance  Should  I  Get?,"Tax deferred annuities can be product solution for long term savers, investors or those in high tax brackets. Guaranteed fixed interest rate annuities that are 7 or 10 years may be too long a position with the recent uptick in Treasuries, so most fixed interest rate annuities with five year or less may be a consideration. If you believe the market has topped out and a correction is at hand then indexed and variable annuities could be risky products. But if your market expectations are positive both of those types of annuities could be a consideration."
768,Is  Life  Insurance  A  Legal  Requirement  For  A  Mortgage?,This is the amount your home itself is covered for. Generally you must be insured for at least 80% of the replacement cost of your home. This is determined by calculations that insurance companies use based upon construction costs in your area. Most companies require you to be insured for 100% of replacement cost. This allows the company to completely rebuild your home in the event of a total loss.
769,What  Does  The  Letter  T  Mean  In  A  Medicare  Number?,"I assume you are doing business with a trusted insurance agent, if not, find one. Selecting limits is the chief concern. You want enough coverage so that a lawsuit for bodily injury or property damage will not bankrupt you. Then, you want enough personal property coverage to replace the essential things that you own, furniture, clothes, appliances etc. While the premium is important, having the right coverage is critical."
770,Is  Life  Insurance  Sales  A  Good  Career?,"No it is not a legal requirement. Many lenders however will require mortgage life insurance to protect themselves. Also, there have been cases where a judge has required a divorced spouse to carry life insurance to cover a mortgage or protect minor children although these cases would depend on the situation. As a general rule however, you are not legally required to carry mortgage insurance."
771,Does  Where  You  Live  Affect  Your  Car  Insurance  Rates?,"Anyone who has Medicare will have noticed their Medicare number is generally their social security number with a letter added on to the end. If you see the letter ""T"" in your Medicare number, this means you have both Medicare Parts A & B, but are not yet receiving social security benefits."
772,Can  Both  Husband  And  Wife  Have  Roth  IRA?,"Perhaps this question is best answered by the statistical averages gathered over the years by LIMRA (Life Insurance and Market Research Association):- Only about 7% of agents that sign on with a single insurance company remain with that company past the first five years.- The percentage that remains in the business after departing from their first insurance carrier is around 20% and each year that percentage declines.- About 3% of all individual sales representatives that enter the insurance business remain in the business for 20 years or more.- The average age of a life insurance agent today is about 57 years old.It has been said that if you can sell life insurance, you can sell anything. As a career, being a life insurance agent can be very rewarding, but it is highly unlikely that life insurance will be the only line of insurance you sell unless you become highly specialized and work with other advising financial professionals as a team in the high-net worth market. Otherwise, you will find it necessary to sell other lines of insurance, notably health, DI, Annuities, LTCi, or property-casualty insurance (auto, home, liability, etc.) to pay the bills.Sometimes, insurance agents become securities-licensed and obtain various professional designations that allow them to practice financial advisory services and sales of stocks, bonds, and mutual funds. This is a fairly recent trend and usually results in the sale of life insurance being a rare occurrence due to all of the other responsibilities of being a financial advisor.Perhaps the most rewarding thing about being a life insurance agent (or being licensed to sell life insruance, among other things) is being the person that ""delivers the check"" to the survivors of someone that died prematurely and on whom there was a high level of financial dependence."
773,Is  Health  Insurance  Free  In  Canada?,"Where you live can and does effect your auto insurance rates. Insurance companies base rates on experience in any given area. These would include but not limited to characteristics of drivers, types of vehicles and claims based on frequency and severity. Actuaries then determine rates according to any given area or areas. There are many misconceptions by consumers as to which area has a better rate vs. another. For example some may believe a city would have a higher rate vs. a rural area. However the fact may be that while a city has more frequency of accidents a rural area may have much more severe accidents due to road conditions and so on. While this is only an example this should give you an idea of how rating works."
774,Does  My  Spouse  Have  To  Be  On  My  Auto  Insurance?,"That is a great question! And the great answer is yes, you both can have your own Roth, and contribute to each. There are limits, so if your individual incomes are in the low $100k area, you can cap out, and if together your combined income puts you at $180k or above, you can max out also. As long as you fall in between that range, go for it! Good luck, and thanks for asking!"
775,Who  Should  I  Set  Up  A  Roth  IRA  With?,"It depends on which Province you live in. In Ontario, you don't pay a premium for basic healthcare but in British Columbia you do. We moved away from Canada because the taxes were so high so ""free healthcare"" is up for debate. Also, Doctors can be hard to find in some areas."
776,Does  Geico  Offer  Term  Life  Insurance?,"You'll also want to consider having her on your policy as the MARRIED rate is normally LOWER than the SINGLE rate. Showing your spouse will ""prove"" you are married. You might not want to let him/her drive your vehicle but that is between you and him/her. Also, if the spouse has their own vehicle, the ""multi-car"" discount will also save you money."
777,What  Is  Meant  By  Life  Insurance  Creates  An  Immediate  Estate?,"I would like to say a Retirement Income Certified Professional (RICP) however, that would be self-serving. You should carefully choose a person whose advice you can trust. While the procedure to start a plan is routine, at some point you will need to make changes and ultimately derive income. This requires experience."
778,What  Qualifies  As  Self  Employed  Health  Insurance?,"Geico offers Term Life Insurance through non-affiliated insurance companies. In other words, the life insurance is not underwritten by Geico; Geico just helps you get it by referring you to a brokerage that carries quotes from multiple life insurance companies. The agency they refer you to is not owned by Geico."
779,How  Much  Will  I  Be  Fined  For  Not  Having  Health  Insurance?,"The economic leverage of life insurance and its tax advantages can create an instant estate within the justification and insurable interest rules. A healthy male age 65 may be able to receive a 4 to 1 benefit to dollar spent on a single deposit. A healthy female age 65 may be able to receive a 5 to 1 benefit to dollar spent on a single deposit. A survivorship policy with a healthy male and female age 65 may be able to receive a 6 to 1 benefit to dollar spent on a single deposit. So if you want to make a difference in the lives of your children, grandchildren, great grandchildren or charity, this is the economic way to go."
780,What  Is  Good  Home  Insurance?,Most people who are self employed need to pick up an individual policy. This would be considered a self employed health insurance policy. There is no set difference or requirements between a person who is employed and has to pick up his own insurance or a self employed person. There could be a difference as far as tax being deductible since a self employed person will usually file a Schedule C. An HSA qualified plan is a great way to purchase health insurance if you are self employed due to the tax advantages. Ask your tax adviser.
781,What  Should  Term  Life  Insurance  Cost?,"Under the new affordable care act, everyone will have to have health insurance or pay a penalty (also known as an ""individual shared responsibility payment""). If you choose to pay the penalty instead of securing coverage, you will still be responsible for 100% of your medical care. The penalty is calculated in one of two ways (you pay whichever is the higher amount). In 2014, the penalties will be calculated as: 1) 1% of your yearly household income featuring a maximum penalty as the national average yearly premium for a bronze plan. 2) $95 per person for the year (If under age 18, then $47.50) featuring a maximum penalty per family of $285 under this method. The penalty calculations will change each year. In 2015, method one increases to 2% of your yearly household income and method two increases to $325 per person. In 2016, it will increase again to 2.5% for method one and $695 per person for method two. The penalty methods will be adjusted for inflation in later years."
782,Can  I  Enroll  In  Medicare  Part  D  Anytime?,"--> Normal 0 What makes up a good homeowners insurance policy? In my mind its a policy that is going to do what you want it to do, at a price you are willing to pay. The problem is, most insurance buyers dont really know what they want the policy to do. Most people seem to want a policy to repair or replace their home if its damaged . To me that means you want an all-risk policy on your home with a Guaranteed Replacement Cost feature, which automatically increases your amount of insurance following a loss, to whatever it takes to rebuild your home if it is damaged and has to be rebuilt. All- Risk type policies will not cover everything but they will specifically state what you are not covered for and you can decide where to go from there. Few policies include the Guaranteed Replacement feature; so make sure you ask for it. And if the company doesnt offer it, you may want to check with someone else. Most people also want their personal stuff replaced should it be damaged or destroyed. So a good homeowners policy should do that. That means, all-risk replacement cost coverage for all your stuff. If its not all-risk(often called Special Coverage or Open Perils) Replacement Cost, you may want to look further. Again, not all types of damage will be covered but the policy will tell you what you are not covered for so you wont have any surprises. Often specific exclusions can be eliminated for an additional cost. Most policies dont include these features so make sure you ask for them if that is the kind of coverage you expect. Good homeowners policies will include coverage for the additional expenses you may incur should your home be damaged and you have to live somewhere else while it is being repaired and a nominal amount of Personal Liability coverage, a good one will have limits not less than $300,000. A good homeowners policy will be offered by a financially strong, at least A-rated insurance company hopefully with a local contact to help you understand what you are getting, makes sure it covers any special situations that make up your life and is there should you have a significant claim. A good homeowners policy is one that doesnt get cancelled the first time you have a claim. Buying insurance on-line may be popular and convenient but you have to know what you are doing. Remember if there is a problem, you are one small policy and they are one big insurance company. It may be a good time to have somebody local on your side."
783,Who  Should  Be  The  Beneficiary  Of  My  Life  Insurance?,"Unfortunately, it is impossible to give a guideline on what Term Life Insurance should cost, because the cost varies so much from person to person. If you buy it when young and very healthy, and lock in the rate for a very short time, you can get it for under $10/month for $100,000 of coverage. If you buy it when older or while having serious health problems, and lock in the premium for the rest of your life, the premium could be over $300/mo for that amount. To find the best price for you, go to a website that offers instant quotes and input your information. Keep in mind that these quotes will need to be followed up by a phone call to verify accuracy, or at least by clarifying your health information on the application."
784,What  Is  Medicare  Region  C?,"As a rule no, you can enroll in Part D when you first become eligible, during the Anual Election Period, or if you have a Special qualifying event such as losing your group coverage or the plan pulls out of the area, or you move out of the service area. If you qualify for Extra Help with your drugs from Medicare or if you are also on Medicaid you can swithch whenever you want."
785,Does  Renters  Insurance  Cover  Theft  Of  A  Bike?,"The rule of thumb when choosing a beneficiary is the person who has the most to lose by your death. A loved one usually a family member is chosen as a primary beneficiary and maybe a child will be chosen as the contingent beneficiary. However in cases where no one would be hurt financially upon your death, the next person to consider would be the person who will handle your funeral arrangements and estate. This way they have the cash to pay final expense and other final bills."
786,What  Is  Select  Term  Life  Insurance?,"Medicare Region C includes the states Alabama, Arkansas, Colorado, Florida, Georgia, Louisiana, Mississippi, New Mexico, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Virginia, West Virginia, Puerto Rico and the US Virgin Islands. This and other regions are designated for the purpose of supplying Durable Medical Equipment (DME) for Medicare."
787,Does  Everyone  Have  Health  Insurance  Now?,Renters insurance covers your personal property and bike is consider personal property. For examble you have a nice high end bike that cost $1500 it get stolen at the store you must call your insurance compay and file a claim they will deduct your dedutable from the pay out. Good Luck
788,Can  I  Be  On  My  Boyfriends  Health  Insurance?,"The term ""select"" when dealing with any type of life insurance is meaningless. There are internet sites that have that word in their name, perhaps because they have already determined which companies to offer coverage from. This is just advertising but with no real value for the consumer, on the internet or off."
789,Does  Full  Coverage  Health  Insurance  Cover?,Currently 85 - 90% of the population is covered by health insurance. About a third of the population has Medicare or Medicaid as their primary coverage. The rest are covered by an employer plan or individually owned health insurance. Starting in 2014 most everyone will be required to purchase health insurance if they are covered by a government or employer plan.
790,How  Do  I  Get  Obamacare?,No. A boyfriend or girlfriend does not meet the legal criteria for being considered an eligible dependent (you can imagine how complicated that could getin some people's lives). Legally married spouses are still generally considered eligible dependents though that coverage option is evolving rapidly due to a quirk in the health care reform law that does not define spouses as dependents. Natural born and step-children and individuals for which a person has a court order appointing them as legal guardian also qualify as dependents. I'm afraid you'll have to get married if you want to get covered under your boyfriend's health insurance.
791,Do  You  Need  A  License  To  Sell  Life  Insurance  In  Illinois?,"I will assume you are talking about a health insurance plan that offers first dollar coverage, meaning you pay a premium and the insurance company pays for everything else. In today's market place, there is no such animal. All plans have some type of cost sharing built into them. It can be in the way of deductibles, copays, or co-insurance. The question could also be referring to what most call major medical insurance. These policies pay your doctor and hospital for treatment you received (after you pay the copay or deductible). There are some plans call indemnity (sometimes called supplemental) plans. AFLAC is a well known seller of indemnity plans. While they have their place in the market place, they should not be confused with major medical insurance. Major medical insurance will protect you against a large medical bill (say $100,000+); while indemnity plans are designed to pay you a fixed about of money based on the limits of the policy. You want to have a major medical plan in place first, then possibly add an indemnity plan second."
792,Why  Is  Long-Term  Disability  Insurance  Important?,"You're generally getting your health insurance coverage from one of two places, the individual market or your spouse's group coverage. If you qualify for a subsidy, you would want to look at health insurance ON the exchanges - subsidies can only be used for on-exchange policies. The first open enrollment period under the Affordable Care Act ended on March 31, 2014. If you're looking for an individual policy, you will need a special enrollment period (a qualifying ""life-changing event"") to purchase a plan outside the open enrollment period, otherwise you may be subject to paying a penalty. The penalty in 2014 is the greater of: 1) 1% of your yearly household income featuring a maximum penalty as the national average yearly premium for a bronze plan. 2) $95 per person for the year (If under age 18, then $47.50) featuring a maximum penalty per family of $285 under this method. The penalty figures will change in future years. Consulting with an experienced broker is always a great first step to learn more about plans available in your area and discuss and compare quotes. Please feel free to contact me for further assistance. Thanks very much."
793,Does  An  Inground  Pool  Increase  Homeowners  Insurance?,"That is a great question! Every state requires an agent that wishes to do business in their State to be licensed, so the answer is yes. You can be licensed in several States, but you have to do them individually, and pay the requisite fees for each. Some may require testing, others won't. I hope that helps, thanks for asking!"
794,How  Can  We  Find  Out  What  Insurance  Company  Insurances  My  Neighbor's  House?,"Long Term Disability Insurance is important because most people do not have enough savings to cover being off of work for over 3 months or more. The benefits of Long Term Disability Insurance can pay until retirement, if you get that type of plan. If someone were to become permanently disabled in their younger to middle age years, that is a lot of years of income coming in. Without that income, many years of living on only Social Security Disability can cause financial devastation to even the wealthiest of families."
795,Can  You  1035  From  Life  Insurance  To  Annuity?,"I have an in ground pool in my own back yard and we absolutely love it. It's great being the house that all my kids' friends want to go to. But, does it increase my insurance premiums? Not necessarily, although it probably should. I'll explain why in just a moment. First, let's look at what an insurance company wants if you do have a pool. The biggest thing they want is a fenced enclosure around the entire pool. They want to be sure that anyone who enters the pool intended to enter the pool. Also to keep animals and small children from wandering into the pool. It's usually not a case of a premium increase, it's a yes or no question. If you do what they want(fence), they'll usually insure you with no increases. If you don't do what they want, they'll just refuse to insure you. Now, why would your premium increase? Because a pool brings more liability along with it. Bad things can happen even if you take precautions. I would recommend liability limits of at least $500,000 and, usually at least a $1,000,000 umbrella policy. Doing this may cost you a little more but it's well worth it. It may be as little as $85/year or it may be a little more depending on your home, cars, and family. Be smart, spend small dollars now to avoid big dollars later."
796,Where  Should  I  Buy  Long  Term  Care  Insurance  In  Michigan?,"To the best of my knowledge there is not any public availablility of insurance coverages or carriers that a person or company may use for their coverage. About the only way to get that information would be to contact your neighbors and ask them for it. Laws vary from state to state, but many of the laws currently in place prevent insurance agents and carriers from providing any coverage or personal information to anyone but authorized parties."
797,Will  Medicare  Premiums  Go  Up  In  2014?,"Yes, you can do a 1035 exchange on the cash value of a permanent life insurance to an annuity. Some people choose to do this because of the higher gains of an annuity, or because they no longer need life insurance. But sometimes it is better to 1035 your life insurance to another life insurance policy. There is no going back, so be sure to review all the consequences with a trusted financial advisor before making this decision."
798,Can  I  Have  Auto  Insurance  In  Another  state?,"There are local career agencies and brokerage shops in Michigan that offer long term care insurance. But you may also want to use online brokerage firms that offer an inventory of companies, sometimes with side by side comparison spreadsheets to understand which company is most competitive. Genworth is one of the leading long term care insurance companies in the market place."
799,How  Much  Should  You  Spend  On  Life  Insurance?,It is unknown whether Medicare premiums will go up in 2014. Medicare rates changes for the following year are announced about the middle of October or November of the year before. To see what the premiums will be in 2013 check the Medicare.com website about midway through the fall of 2013.
800,Does  Medicare  Part  D  Cover  Cymbalta?,"That is a great question! The answer is you really don't want to. First, most States will require that the car be licensed and registered in the same State, and levy fines or license suspensions if they find it isn't. The insurance company will more often than not deny a claim, or even cancel your policy if they find that you misrepresented where the car was being used. All in all, it's not a good idea. Thanks for asking, though!"
801,How  Do  I  Get  Short  Term  Disability  Insurance?,"Some financial counselors recommend spending a certain percent of your income on life insurance. However, there are so many different uses for life insurance, and the price varies so much based on age and health and the type of policy purchased, that it doesn't always work to use a rule of thumb. If you are a retired person with a high income and net worth, you may want to purchase life insurance to avoid and/or pay estate taxes, and to transfer your wealth to your heirs. The cost of this type of policy could be pricey, but it would save you a lot of money. In contrast, you may be a young newlywed who can only afford to spend only $20 per month on life insurance. This could possibly buy $250,000 of term insurance for you and your spouse. At that time in your life, that expenditure would be appropriate."
802,How  Much  Do  Life  Insurance  Agents  Make  In  Illinois?,"Medicare Part D prescription drug plans are sold by private health insurance companies. Each plan is going to have a formulary (the list of drugs a plan will cover). Not every formulary is going to cover every drug. You can look up which plans cover your prescriptions on Medicare.gov using the ""find health & drug plans"" tool."
803,Does  Medicare  Cover  Hepatitis  C  Screening?,"Most people get Short Term Disability Insurance through their employer in the form of a group plan. Sometimes the employer pays the premiums, sometimes the employee pays the premiums, and sometimes they share the costs. If your place of business does not offer Short Term Disability Insurance, you can purchase it through an independent agent in an individual plan. I would be happy to assist you, if you'd like."
804,Who  Regulates  Variable  Annuities?,"Life insurance agents' wages vary widely in Illinois, as they do across the nation. If the agent has a lot of high wealth clients and can sell a large range of products, they can make hundreds of thousands of dollars. On the other hand, many agents in Illinois and other states are unable to make a living in that career. How much you make depends on hard you work, who you know, and getting some breaks."
